Issue ID,Issue Type,Summary,Description,Priority,Story Points,Original Estimate,Epic Name,Epic Link,Parent ID,Labels,Depends On
EPIC-11,Epic,[EPIC-11] Notifications & Alerts,"Цель: Доставлять критичные события через Telegram, Email и Webhook, чтобы команды реагировали в реальном времени.

Метрика успеха:
- Доставка уведомлений `>=99%`
- Время доставки `<30s p95`
- Снижение missed-incidents на `>=40%`

Зависит от: [EPIC-06]

Оценка: M (2-4 нед)",High,,,EPIC-11 Notifications & Alerts,,,"crm-prd,backlog,epic-11",[EPIC-06]
EPIC-12,Epic,[EPIC-12] Conversions & Basic P&L,"Цель: Зафиксировать депозиты и базовый P&L (buy vs sell), чтобы команда могла управлять прибыльностью.

Метрика успеха:
- Conversions capture completeness `>=99%`
- Расхождение reconciliation с брокером `<1%`
- Время закрытия финансового периода сокращено на `30%`

Зависит от: [EPIC-03], [EPIC-05]

Оценка: L (1-3 мес)",High,,,EPIC-12 Conversions & Basic P&L,,,"crm-prd,backlog,epic-12","[EPIC-03], [EPIC-05]"
EPIC-13,Epic,[EPIC-13] Onboarding & Setup Wizard,"Цель: Привести клиента от регистрации до первого отправленного лида за `<30 минут` с понятным guided setup.

Метрика успеха:
- Time-to-first-lead `<30 минут`
- Completion rate wizard `>=75%`
- Снижение onboarding support tickets `>=40%`

Зависит от: [EPIC-01], [EPIC-02], [EPIC-03], [EPIC-04], [EPIC-06]

Оценка: L (1-3 мес)",High,,,EPIC-13 Onboarding & Setup Wizard,,,"crm-prd,backlog,epic-13","[EPIC-01], [EPIC-02], [EPIC-03], [EPIC-04], [EPIC-06]"
EPIC-14,Epic,[EPIC-14] Advanced Analytics & BI,"Цель: Дать power-users полноценный BI-слой: кастомные отчеты, конструктор дашбордов, когорты, сравнение периодов и scheduled reports.

Метрика успеха:
- 50% enterprise-клиентов используют кастомные отчеты еженедельно
- Time-to-build report `<10 минут`
- Scheduled reports delivery success `>=99%`

Зависит от: [EPIC-10], [EPIC-12]

Оценка: XL (3+ мес)",Medium,,,EPIC-14 Advanced Analytics & BI,,,"crm-prd,backlog,epic-14","[EPIC-10], [EPIC-12]"
EPIC-15,Epic,[EPIC-15] Mobile Dashboard,"Цель: Дать мобильный мониторинг KPI и алертов в реальном времени как уникальное конкурентное преимущество.

Метрика успеха:
- Mobile MAU `>=60%` от web MAU
- Push alert open rate `>=45%`
- Среднее время реакции на critical alert сокращено на `30%`

Зависит от: [EPIC-10], [EPIC-11]

Оценка: L (1-3 мес)",Medium,,,EPIC-15 Mobile Dashboard,,,"crm-prd,backlog,epic-15","[EPIC-10], [EPIC-11]"
EPIC-16,Epic,[EPIC-16] Integration Marketplace,"Цель: Построить публичный маркетплейс интеграций с one-click установкой и community contributions.

Метрика успеха:
- 200+ шаблонов доступны в marketplace
- One-click install success `>=95%`
- 20+ community submissions/мес

Зависит от: [EPIC-03], [EPIC-19]

Оценка: L (1-3 мес)",Medium,,,EPIC-16 Integration Marketplace,,,"crm-prd,backlog,epic-16","[EPIC-03], [EPIC-19]"
EPIC-17,Epic,[EPIC-17] Smart Routing (AI/ML v1),"Цель: Автоматически рекомендовать и оптимизировать routing на основе исторических данных, сохраняя контроль пользователя.

Метрика успеха:
- Uplift conversion rate `>=8%`
- Снижение ручных правок routing на `>=30%`
- Precision предупреждений деградации `>=85%`

Зависит от: [EPIC-02], [EPIC-10]

Оценка: L (1-3 мес)",Medium,,,EPIC-17 Smart Routing (AI/ML v1),,,"crm-prd,backlog,epic-17","[EPIC-02], [EPIC-10]"
EPIC-18,Epic,[EPIC-18] Status Groups & Shave Detection,"Цель: Нормализовать статусы брокеров в единую модель и выявлять shaving/rollback аномалии.

Метрика успеха:
- 95% broker statuses маппятся в normalized groups
- Detection latency аномалий `<5 минут`
- Снижение спорных кейсов с брокерами на `20%`

Зависит от: [EPIC-03], [EPIC-10]

Оценка: L (1-3 мес)",Medium,,,EPIC-18 Status Groups & Shave Detection,,,"crm-prd,backlog,epic-18","[EPIC-03], [EPIC-10]"
EPIC-19,Epic,[EPIC-19] Public API & Developer Portal,"Цель: Открыть платформу для внешних разработчиков через стабильный API, SDK и sandbox.

Метрика успеха:
- Время первой интеграции `<1 день`
- 70% новых клиентов используют SDK
- Developer NPS `>=45`

Зависит от: [EPIC-01], [EPIC-03], [EPIC-06]

Оценка: L (1-3 мес)",Medium,,,EPIC-19 Public API & Developer Portal,,,"crm-prd,backlog,epic-19","[EPIC-01], [EPIC-03], [EPIC-06]"
EPIC-20,Epic,[EPIC-20] White-Label & Multi-Tenant Platform,"Цель: Дать enterprise-клиентам white-label и продвинутую multi-tenant архитектуру с изоляцией и reseller-моделью.

Метрика успеха:
- Запуск white-label клиента `<3 дня`
- 0 cross-tenant security incidents
- 10+ reseller tenants в первые 6 месяцев

Зависит от: [EPIC-06], [EPIC-19]

Оценка: XL (3+ мес)",Low,,,EPIC-20 White-Label & Multi-Tenant Platform,,,"crm-prd,backlog,epic-20","[EPIC-06], [EPIC-19]"
EPIC-21,Epic,[EPIC-21] Billing & Subscription Management,"Цель: Монетизировать платформу через тарифы, usage billing и addons с прозрачной финансовой операционкой.

Метрика успеха:
- 95% инвойсов выставляются автоматически
- Ошибки биллинга `<0.5%`
- DSO сокращен на `20%`

Зависит от: [EPIC-12], [EPIC-20]

Оценка: L (1-3 мес)",Low,,,EPIC-21 Billing & Subscription Management,,,"crm-prd,backlog,epic-21","[EPIC-12], [EPIC-20]"
EPIC-22,Epic,[EPIC-22] Compliance & Security Hardening,"Цель: Подготовить платформу к требованиям SOC2/GDPR и усилить security baseline.

Метрика успеха:
- Готовность к SOC2 Type II audit
- SLA закрытия high vulnerabilities `<7 дней`
- 100% критичных действий в immutable audit logs

Зависит от: [EPIC-06], [EPIC-21]

Оценка: XL (3+ мес)",Low,,,EPIC-22 Compliance & Security Hardening,,,"crm-prd,backlog,epic-22","[EPIC-06], [EPIC-21]"
EPIC-23,Epic,[EPIC-23] Smart Fraud (AI/ML v2),"Цель: Внедрить ML fraud scoring на собственных данных, behavioral analysis и shared intelligence (opt-in) для максимального качества антифрода.

Метрика успеха:
- AUC fraud model `>=0.92`
- False positive rate снижена на `20%`
- Detection latency `<150ms p95`

Зависит от: [EPIC-07], [EPIC-17], [EPIC-22]

Оценка: XL (3+ мес)",Low,,,EPIC-23 Smart Fraud (AI/ML v2),,,"crm-prd,backlog,epic-23","[EPIC-07], [EPIC-17], [EPIC-22]"
STORY-001,Story,[STORY-001] Single Lead Intake Endpoint,"Как Developer, я хочу отправлять один лид через защищенный REST endpoint, чтобы быстро подключить источник трафика.

Acceptance Criteria:
- AC1: Реализован `POST /api/v1/leads` с `Authorization: Bearer <api_key>`, `Content-Type: application/json`, optional `X-Idempotency-Key`.
- AC2: Request schema: `external_lead_id:string<=64`, `first_name:string<=80`, `last_name:string<=80`, `email:email|null`, `phone:string|null`, `geo:string`, `ip:ipv4|ipv6`, `landing_url:url`, `sub_id:string<=128`, `utm:object`, `event_ts:ISO-8601`; минимум одно из `email/phone` обязательно.
- AC3: Success response `202` за `<350ms p95`: `{""lead_id"":""uuid"",""status"":""received"",""trace_id"":""uuid"",""received_at"":""ISO-8601""}`.
- AC4: Error codes и формат: `400 malformed_json`, `401 unauthorized`, `403 key_disabled_or_ip_denied`, `413 payload_too_large`, `422 validation_error`, `429 rate_limited`, `500 internal_error`; в каждом ответе есть `trace_id`.
- AC5: Security: TLS1.2+, rate limit `120 req/min` на ключ, burst `30`, max payload `64KB`, SQL/script injection строки отклоняются.

Epic: EPIC-01",Highest,8,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-001",
STORY-002,Story,[STORY-002] Versioned Schema Validation,"Как Developer, я хочу версионирование контракта intake API, чтобы обновления не ломали интеграции.

Acceptance Criteria:
- AC1: Поддержан header `X-API-Version`, default `2026-01`; неподдерживаемая версия возвращает `400 unsupported_version`.
- AC2: Реализован `GET /api/v1/schema/leads?version=2026-01` с JSON Schema и примерами.
- AC3: В strict-режиме неизвестные поля дают `422 unknown_field`, в compat-режиме поля игнорируются и логируются.
- AC4: Любая breaking change требует минимум 90 дней deprecation window и warning header `X-API-Deprecation`.
- AC5: Время валидации схемы добавляет не более `50ms p95` к intake запросу.

Зависит от: [STORY-001]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-002",[STORY-001]
STORY-003,Story,[STORY-003] Deduplication Rules Engine,"Как Network Admin, я хочу исключать дубли до роутинга, чтобы не платить дважды за один и тот же лид.

Acceptance Criteria:
- AC1: Дедуп по `external_lead_id + affiliate_id` в окне `1-90` дней, default `30` дней.
- AC2: Fallback дедуп по fingerprint `sha256(email_norm|phone_e164|geo)`; при отсутствии email/phone — `ip+landing_url` в окне `10 минут` с низкой уверенностью.
- AC3: При дубле API возвращает `409 duplicate_lead` с `existing_lead_id`, `matched_by`, `first_seen_at`.
- AC4: Кросс-аффилейт дедуп выключен по умолчанию; включается флагом tenant-level.
- AC5: Дополнительная latency от дедупа `< 120ms p95`.

Зависит от: [STORY-001], [STORY-002]

Epic: EPIC-01",Highest,8,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-003","[STORY-001], [STORY-002]"
STORY-004,Story,[STORY-004] Data Normalization Pipeline,"Как Network Admin, я хочу нормализовать телефон/email/GEO, чтобы downstream-правила работали на единых форматах.

Acceptance Criteria:
- AC1: Телефон нормализуется в E.164; невалидный номер -> `422 phone_invalid`.
- AC2: Email нормализуется (`trim`, lowercase, punycode домен), синтаксическая валидация RFC; пустая строка считается отсутствием поля.
- AC3: GEO приводится к ISO-3166-1 alpha-2; синонимы (`UK/U.K./GBR`) -> `GB`.
- AC4: При mismatch payload GEO vs IP GEO сохраняется warning `geo_mismatch`, но лид принимается при валидном payload.
- AC5: В response и БД сохраняются `raw` и `normalized` поля, плюс `normalization_warnings[]`.

Зависит от: [STORY-001], [STORY-002]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-004","[STORY-001], [STORY-002]"
STORY-005,Story,[STORY-005] Idempotency & Safe Retries,"Как Media Buyer, я хочу безопасно ретраить запросы без создания дублей, чтобы не терять лиды при сетевых сбоях.

Acceptance Criteria:
- AC1: При передаче `X-Idempotency-Key` (до 64 символов) повтор в течение `24 часов` возвращает тот же `status code` и тот же `lead_id`.
- AC2: Если тот же ключ отправлен с другим payload hash, возвращается `409 idempotency_mismatch`.
- AC3: При отсутствии ключа обработка продолжается стандартно через дедуп.
- AC4: Повторный ответ по idempotency выдается за `<100ms p95`.
- AC5: Idempotency store очищается TTL-job без удаления актуальных записей.

Зависит от: [STORY-001]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-005",[STORY-001]
STORY-006,Story,[STORY-006] Bulk Lead Intake,"Как Developer, я хочу загружать лиды пакетами, чтобы снижать overhead при массовой отправке трафика.

Acceptance Criteria:
- AC1: `POST /api/v1/leads/bulk` принимает до `100` лидов или `2MB` тела; превышение -> `413`.
- AC2: До `50` элементов синхронный ответ `207 Multi-Status`; больше `50` -> `202` с `job_id`.
- AC3: `GET /api/v1/leads/bulk/{job_id}` возвращает статус `queued|processing|done|failed` и per-item результаты.
- AC4: Частичный успех поддержан: валидные лиды принимаются, невалидные возвращают собственные коды ошибок.
- AC5: Время обработки 100 лидов в sync path `<2s p95`.

Зависит от: [STORY-001], [STORY-005]

Epic: EPIC-01",Highest,8,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-006","[STORY-001], [STORY-005]"
STORY-007,Story,[STORY-007] Affiliate Intake Settings Management,"Как Affiliate Manager, я хочу гибко настраивать intake-правила по аффилейту, чтобы контролировать качество входящего трафика.

Acceptance Criteria:
- AC1: Реализованы `GET/PUT /api/v1/affiliates/{affiliate_id}/intake-settings`.
- AC2: Request schema: `required_fields[]`, `allowed_geo[]`, `dedupe_window_days`, `max_rpm`, `accept_schedule{timezone,days,hours}`.
- AC3: Валидация: `max_rpm 10-2000`, `allowed_geo <=100`, `dedupe_window_days 1-90`; при ошибке `422`.
- AC4: RBAC: edit разрешен только `Network Admin` и назначенному `Affiliate Manager`; иначе `403`.
- AC5: Изменения применяются к intake pipeline за `<60s`.

Зависит от: [STORY-001]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-007",[STORY-001]
STORY-008,Story,[STORY-008] Sandbox Intake + Error Catalog,"Как Developer, я хочу тестовый режим и каталог ошибок, чтобы интегрироваться без риска для production-данных.

Acceptance Criteria:
- AC1: Поддержан sandbox режим через `POST /api/v1/leads?mode=sandbox` и/или sandbox host.
- AC2: Sandbox принимает только test API keys; production key в sandbox -> `403`.
- AC3: Ответы детерминированы по `external_lead_id` (один input -> один output).
- AC4: Реализован `GET /api/v1/errors` с `error_code`, `http_status`, `description`, `fix_hint`.
- AC5: Sandbox данные изолированы от production и удаляются через `7 дней`.

Зависит от: [STORY-001], [STORY-002]

Epic: EPIC-01",High,3,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-008","[STORY-001], [STORY-002]"
STORY-009,Story,[STORY-009] Intake Monitoring & Alerts,"Как Team Lead, я хочу видеть качество intake в реальном времени, чтобы быстро реагировать на деградацию трафика.

Acceptance Criteria:
- AC1: `GET /api/v1/intake/metrics?from&to&group_by=affiliate|geo|status&interval=1m|5m|1h` возвращает `accepted`, `rejected`, `duplicates`, `p95_latency`.
- AC2: Data freshness `<60s`, запрос за последние 7 дней отрабатывает `<1.5s p95`.
- AC3: Конфигурируемые алерты: `reject_rate >15% за 10 мин` и `p95_latency >700ms за 5 мин`.
- AC4: RBAC фильтрует метрики по workspace/team; кросс-tenant доступ запрещен.
- AC5: Ошибка пустого диапазона дат -> `400 invalid_date_range`.

Зависит от: [STORY-001], [STORY-006]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-009","[STORY-001], [STORY-006]"
STORY-010,Story,[STORY-010] Audit Trail & PII Masking,"Как Network Admin, я хочу полную трассировку обработки лида и маскирование PII в логах, чтобы соблюсти безопасность и разбор инцидентов.

Acceptance Criteria:
- AC1: Для каждого запроса фиксируются события `received`, `validated`, `deduped`, `normalized`, `queued` с `trace_id` и timestamp.
- AC2: Логи маскируют PII: email local-part hash, phone masked до последних 4 цифр, IP анонимизируется (`/24` IPv4, `/56` IPv6).
- AC3: `GET /api/v1/leads/{lead_id}/events` доступен только ролям с правом просмотра данного workspace.
- AC4: Audit retention: `180 дней` hot + `365 дней` archive.
- AC5: Обнаружение tamper (hash-chain mismatch) поднимает алерт `<1 мин`.

Зависит от: [STORY-001]

Epic: EPIC-01",Highest,5,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-010",[STORY-001]
STORY-011,Story,[STORY-011] Intake Outcome Webhooks,"Как Affiliate Manager, я хочу получать callback о результате intake, чтобы быстро видеть ошибки интеграции и реакцию системы.

Acceptance Criteria:
- AC1: Реализован `POST /api/v1/affiliates/{id}/webhooks/intake` для настройки `url`, `secret`, `events[]`.
- AC2: События `intake.accepted|rejected|duplicate` отправляются в течение `<5s p95` после обработки.
- AC3: Подпись запроса: `X-Signature: sha256=<hmac>`; timestamp header обязателен.
- AC4: Retry: 5 попыток (`10s,1m,5m,15m,1h`), затем DLQ; `GET /api/v1/affiliates/{id}/webhooks/deliveries` показывает историю.
- AC5: При HTTP `410` endpoint auto-paused и создается alert.

Зависит от: [STORY-001], [STORY-007]

Epic: EPIC-01",High,3,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-011","[STORY-001], [STORY-007]"
STORY-012,Story,[STORY-012] Intake Performance & High Availability,"Как Network Admin, я хочу гарантированную производительность intake under load, чтобы система выдерживала рекламные пики без потери лидов.

Acceptance Criteria:
- AC1: Sustained test `300 RPS` на 15 минут: p95 `<500ms`, 5xx `<0.5%`.
- AC2: Burst test `1000 RPS` на 60 секунд: потеря валидных лидов `0`, `429 <=2%`.
- AC3: При недоступности downstream сервисов intake принимает лид (`202`) и ставит в очередь, backlog дренируется `<10 минут` после восстановления.
- AC4: SLO availability `99.95%` monthly, burn-rate alert в течение `2 минут`.
- AC5: Disaster drill: failover проходит с `RTO <5 минут`, `RPO = 0` для принятых лидов.

Зависит от: [STORY-001], [STORY-006], [STORY-009]

Epic: EPIC-01",Highest,8,,,EPIC-01,EPIC-01,"crm-prd,backlog,epic-01,story-012","[STORY-001], [STORY-006], [STORY-009]"
STORY-013,Story,[STORY-013] Flow Configuration API,"Как Network Admin, я хочу создавать и версионировать routing flows через API, чтобы управлять логикой маршрутизации без downtime.

Acceptance Criteria:
- AC1: Реализованы `POST/GET/PUT /api/v1/routing/flows`, `POST /api/v1/routing/flows/{id}/publish`, `POST /api/v1/routing/flows/{id}/archive`.
- AC2: Схема flow: `name`, `status(draft|published|archived)`, `timezone`, `entry_filters`, `algorithm`, `branches[]`, `fallback_policy`, `caps`.
- AC3: Публикация только после успешной валидации графа; при ошибке `422 flow_validation_error` с полем `node_id`.
- AC4: RBAC: только `Network Admin` может publish/archive; `Affiliate Manager` может редактировать draft при назначенном scope.
- AC5: Переключение active version происходит атомарно за `<2s`.

Зависит от: [STORY-001]

Epic: EPIC-02",Highest,8,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-013",[STORY-001]
STORY-014,Story,[STORY-014] Visual Drag-and-Drop Flow Builder,"Как Affiliate Manager, я хочу собирать flow через drag-and-drop редактор, чтобы быстро настраивать дистрибуцию без разработки.

Acceptance Criteria:
- AC1: Узлы: `Entry`, `Filter`, `Algorithm`, `BrokerTarget`, `Fallback`, `Exit`; связи валидируются в реальном времени.
- AC2: Autosave draft каждые `5s`; восстановление после разрыва сессии за `<3s`.
- AC3: Нельзя сохранить граф с циклом или без `Exit`; ошибка показывается на конкретном `node_id`.
- AC4: Поддержан импорт/экспорт JSON flow-схемы (`<=512KB`).
- AC5: Редактор работает на 50+ узлах без деградации (UI FPS `>=30`).

Зависит от: [STORY-013]

Epic: EPIC-02",Highest,8,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-014",[STORY-013]
STORY-015,Story,[STORY-015] Algorithm Selection per Flow,"Как Network Admin, я хочу выбирать алгоритм маршрутизации на уровне flow/branch, чтобы адаптировать дистрибуцию под разные источники трафика.

Acceptance Criteria:
- AC1: Поле `algorithm_mode` поддерживает `weighted_round_robin` и `slots_chance` на уровне flow и override на уровне branch.
- AC2: API `PUT /api/v1/routing/flows/{id}/algorithm` валидирует обязательные параметры под выбранный режим.
- AC3: При отсутствии override branch использует flow-level алгоритм.
- AC4: Смена алгоритма не ломает опубликованный flow; изменения применяются только после publish.
- AC5: В explain-response указывается фактически использованный алгоритм и источник настройки (`flow|branch`).

Зависит от: [STORY-013], [STORY-014]

Epic: EPIC-02",Highest,5,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-015","[STORY-013], [STORY-014]"
STORY-016,Story,[STORY-016] Weighted Round-Robin Executor,"Как Team Lead, я хочу предсказуемое распределение лидов по весам, чтобы равномерно отгружать трафик на брокеров.

Acceptance Criteria:
- AC1: Для `weighted_round_robin` поддержаны веса `1..1000` на broker-target.
- AC2: На выборке `>=10,000` лидов фактическая доля отклоняется от целевой не более чем на `±5%`.
- AC3: Нецелевые брокеры (disabled, cap reached, schedule off) исключаются до распределения.
- AC4: Если все target недоступны, возвращается `503 no_available_route` + код причины.
- AC5: Decision latency алгоритма `<30ms p95` при `<=200` targets в flow.

Зависит от: [STORY-015]

Epic: EPIC-02",Highest,8,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-016",[STORY-015]
STORY-017,Story,[STORY-017] Slots vs Chance Executor,"Как Network Admin, я хочу использовать `SLOTS vs CHANCE`, чтобы добиться статистически корректного случайного распределения и контроля вероятностей.

Acceptance Criteria:
- AC1: Режим поддерживает `slots` (целые `1..10000`) и `chance` (`0.01..100.00%`) для каждого target.
- AC2: Сумма chance в branch должна быть `100% ± 0.01`; иначе `422 invalid_probability_sum`.
- AC3: На выборке `>=20,000` отклонение фактической вероятности не более `±3%` от заданной.
- AC4: Для малой выборки (`<500`) UI показывает warning о низкой статистической значимости.
- AC5: Алгоритм использует криптостойкий PRNG seed + traceable random token в explain логе.

Зависит от: [STORY-015]

Epic: EPIC-02",Highest,8,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-017",[STORY-015]
STORY-018,Story,[STORY-018] GEO/Schedule/Caps Constraints Engine,"Как Affiliate Manager, я хочу задавать фильтры GEO, расписание и капы, чтобы трафик отправлялся только в разрешенные окна и лимиты.

Acceptance Criteria:
- AC1: Поддержаны фильтры `allowed_geo[]`, `blocked_geo[]`, `days_of_week`, `time_window`, `timezone`.
- AC2: Капы: hourly/daily/weekly на уровне target и flow; timezone-aware reset по tenant timezone.
- AC3: При cap exhaustion решение должно выбрать следующий доступный target либо fallback, без 5xx.
- AC4: `GET /api/v1/routing/caps/{flow_id}` возвращает `used`, `remaining`, `resets_at` за `<200ms p95`.
- AC5: При конфликте фильтров приоритет: `blocked_geo` > `allowed_geo` > fallback.

Зависит от: [STORY-013]

Epic: EPIC-02",Highest,8,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-018",[STORY-013]
STORY-019,Story,[STORY-019] Fallback Chain and Broker Resilience,"Как Team Lead, я хочу автоматический fallback при недоступности брокера, чтобы не терять лиды при деградации интеграций.

Acceptance Criteria:
- AC1: В flow настраивается fallback chain `primary -> backup1 -> backup2` с max hop `<=5`.
- AC2: Триггеры failover: `timeout >2s`, `5xx`, `connection_error`, `explicit_reject`.
- AC3: Failover решение принимается за `<400ms p95` сверх базового route времени.
- AC4: Циклический fallback запрещен на этапе publish (`422 fallback_cycle_detected`).
- AC5: В audit сохраняется весь путь fallback с кодами причин.

Зависит от: [STORY-018], [STORY-016], [STORY-017]

Epic: EPIC-02",Highest,5,,,EPIC-02,EPIC-02,"crm-prd,backlog,epic-02,story-019","[STORY-018], [STORY-016], [STORY-017]"
