index,start,end,text
129,554.24,560.72,"So to continue, this is the main configuration, the click tracking configuration sets a bit"
130,560.72,561.72,more details.
131,561.72,564.4,I will show you the most important things.
132,564.4,566.0,We'll start with the payouts.
133,566.0,571.68,So here you can set up the payouts for a certain partner.
134,571.68,573.24,It's pretty straightforward.
135,573.24,577.56,"You choose the country, for example, if you're working in Belgium with a certain partner,"
136,577.56,582.44,you can tell to the system there's a payout of 500.
137,582.44,586.8,"But something really important when you're a network, you get a lot of traffic."
138,586.8,591.44,"You can really fine tune it and, for example, if you agree with another network that they"
139,591.44,597.56,"are forwarding traffic to you, usually they use another parameter to forward the source"
140,597.64,602.6,"ID or the affiliate ID or the partner ID, however you want to call it."
141,602.6,610.12,And in here you can set up dedicated payouts based on combinations of extra parameters.
142,610.12,616.88,"So for example, if a source stem from a certain network would send you and they are sending"
143,616.88,624.76,"an offset five, it's Facebook or Google, you can really fine tune what's being paid, for"
144,624.84,627.8,"example, for this kind of traffic, they would pay extra."
145,627.8,631.6,They can set it up like this with the extra parameters.
146,631.6,635.32,You can always schedule a payout if you want to activate it later.
147,635.32,641.24,"For example, you want to activate it starting on Thursday for some reason, you can schedule"
148,641.24,644.08,it here.
149,644.08,645.44,This is the way to set up payouts.
150,645.44,647.6,"You can edit them, remove them."
151,647.6,653.2,"If you have a big list, we have some filters on the side so you can filter out the related"
152,653.24,656.12,payouts that you need for your case.
153,656.12,660.96,You can always copy a payout if you have a new affiliate but you want to apply the same
154,660.96,666.24,"payouts as an amazing partner, you can say copy and it will copy all the payouts from"
155,666.24,670.24,this one.
156,670.24,672.84,Then we have the offers.
157,672.84,679.08,So we have a part of the system that we also offer click tracking.
158,679.12,681.32,These are the offers you can whitelist here.
159,681.32,684.36,"For example, you have 10 offers."
160,684.36,690.4,You can whitelist offers for a certain affiliate so you can start using them.
161,690.4,691.96,They are listed here.
162,691.96,697.76,"So you can see, okay, this offer is whitelisted for this affiliate."
163,697.76,705.76,"If they work through API, you'll need to make them here but I'll show this at a later point."
164,705.76,712.76,"The pixels, to set up pixels based on this partner's traffic, this only works with the"
165,713.36,718.36,funnels or the landing pages that are hosted on our infrastructure.
166,718.36,719.36,Yeah.
167,719.36,720.36,The post-vax.
168,720.36,721.36,Sorry.
169,721.36,734.36,"I think our mostly partners, what affiliates, will use API integration."
170,735.36,740.16,That's something we generally see happening more and more so it makes sense.
171,740.16,745.8,But then you need to post-vax to notify them of an action.
172,745.8,750.76,So you can set up an event based on if there is lead or an FTD.
173,750.76,761.76,"Let's say FTD, you want to fire tracking system of affiliate.com and then you want to probably"
174,761.76,768.76,notify them like this was the plague ID and this is your payout.
175,771.48,775.32,And then you can set up this post-vax and you can even fine tune it if it's for certain
176,775.32,776.32,countries.
177,776.32,779.84,We have seen all kinds of setups.
178,779.84,784.88,Or you can tweak it again with certain parameters if necessary and this way you can save the
179,784.88,790.88,post-vax and this will be triggered every time there is an FTD for this partner.
180,791.88,794.08,Then we have the distributions.
181,794.08,797.96,This will list all the distributions that this partner is part of.
182,797.96,802.88,Currently it's not part of a specific distribution.
183,802.88,809.16,"The post-vax logs, this will show you the logs of all the post-vax that were being sent."
184,809.16,811.68,This is the caps.
185,811.68,813.96,You will probably work with caps.
186,813.96,818.52,So you can make caps based on an affiliate based on brokers.
187,818.56,824.84,You can even set caps on a country specifically but we always have an easy way to access them.
188,824.84,829.84,For example if you have a daily cap that needs to reset at midnight.
189,829.84,834.84,But in Australia for example.
190,834.84,841.84,And you want to cap it at 10 in Australia time then it will happen at midnight in Australia.
191,843.48,847.16,So you don't need to think about time zones and all that.
192,847.16,851.12,Then you can say Australia of course for the country.
193,851.12,854.76,You can save the cap and that's about it.
194,854.76,857.28,You can always follow up on that certain cap.
195,857.28,862.12,For example now there were already 47 needs in Australia.
196,862.12,867.28,We also have a caps page in general where you can see information about caps.
197,867.28,870.28,But more on that later.
198,871.28,875.28,Let me see partner-ish.
199,875.28,877.28,And the last stop is users.
200,877.28,881.28,Here you can see all users that are tied to a certain affiliate.
201,881.28,885.28,For example the login you are using has been made through this window.
202,885.28,890.28,You can say partner.com.
203,890.28,892.28,Give them a password. Save the user.
204,892.28,899.28,And now this partner also has a user to login to the system to see their data.
205,900.28,903.28,Everything can be tweaked pretty extensively.
206,903.28,907.28,We have a very broad permission system.
207,907.28,911.28,So you can also tweak what affiliates or your partners can see.
208,911.28,913.28,If you want to show them a lot you can show them a lot.
209,913.28,917.28,If you want to show them very little you can show them very little.
210,917.28,923.28,Then we go to the clients or brokers or advertisers.
211,924.28,928.28,So the general settings.
212,928.28,932.28,If there is a manager that needs to be applied on this client.
213,932.28,935.28,And the display name this is for reporting.
214,937.28,941.28,Then you have the revenue that's also pretty straightforward.
215,941.28,943.28,Works the same way as affiliates and payouts.
216,943.28,947.28,But here you can set up the revenue you are getting per FTD.
217,947.28,952.28,So you can say Australia I'm getting I don't know 600.
218,952.28,954.28,And you can save it.
219,954.28,956.28,So now it's a schedule.
220,956.28,959.28,As you can see here is also a schedule button.
221,959.28,966.28,For example if you know tomorrow in Australia my revenue will go down to 400.
222,966.28,970.28,You can schedule it for midnight nine.
223,970.28,972.28,That's coming for tomorrow.
224,972.28,974.28,You can save the schedule.
225,974.28,977.28,And on a lot of places you will see a schedule top.
226,977.28,983.28,So you can always see what actions will be applied in the future for a certain entity.
227,983.28,987.28,So that can be an affiliate broker distribution.
228,987.28,989.28,It's just system wide.
229,989.28,994.28,At the left side you also have a general schedule page.
230,994.28,1000.28,Where you can see all the actions that will be applied on your environment.
231,1000.28,1004.28,Like you can view by month and you will see everything that's scheduled.
232,1005.28,1009.28,Let's go back here real quick.
233,1009.28,1011.28,Then you have the caps.
234,1011.28,1013.28,Those are the broker caps.
235,1013.28,1015.28,So you can set them up here.
236,1015.28,1020.28,Same way you can choose what type of interval like total daily.
237,1020.28,1023.28,If you want a cap on FTD or lead.
238,1023.28,1027.28,When it needs to reset and the amount.
239,1027.28,1033.28,You can select multiple countries and you can combine them in the cap.
240,1033.28,1037.28,Like I want to have 10 leads from these three countries in total.
241,1037.28,1041.28,Or you can quickly set up like three countries.
242,1041.28,1046.28,Set this checkbox and it will create three caps for the different countries.
243,1046.28,1047.28,That's it here.
244,1047.28,1049.28,Like it's a convenience method.
245,1049.28,1052.28,So this will generate three separate caps.
246,1052.28,1055.28,Each with 10 caps total.
247,1055.28,1059.28,If you have questions please shoot.
248,1059.28,1061.28,So I'll just continue.
249,1061.28,1065.28,You explain very good.
250,1065.28,1067.28,I understand.
251,1067.28,1068.28,Perfect.
252,1068.28,1069.28,Thank you.
253,1069.28,1071.28,Then we have exclusions.
254,1071.28,1074.28,So imagine this is we also have a blacklist feature.
255,1074.28,1075.28,But this is exclusions.
256,1075.28,1080.28,Imagine you have a broker complaining about a certain partner.
257,1080.28,1082.28,Like he's not sending good leads.
258,1082.28,1084.28,I don't know why.
259,1084.28,1090.28,You can make an exclusion like I don't want this affiliate to be considered.
260,1090.28,1094.28,And leads that are being sent to this certain broker.
261,1094.28,1101.28,So you can add this exclusion and every time even if this one is in the distribution.
262,1101.28,1103.28,Traffic will be excluded.
263,1103.28,1105.28,So it will not be an option.
264,1105.28,1108.28,Then here we have the distribution list.
265,1108.28,1115.28,So you can quickly see where it's being used as an option in the distributions.
266,1115.28,1118.28,But I will show you the distributions in general.
267,1118.28,1120.28,So you have a better picture of what's happening there.
268,1120.28,1122.28,Then you have the opening hours.
269,1122.28,1127.28,Here you can list the opening hours of a certain advertiser.
270,1127.28,1132.28,The flexibility here is you can use it for administration purposes.
271,1132.28,1133.28,What does that mean?
272,1133.28,1138.28,You just want to be able to click and see our righties open or closed.
273,1138.28,1140.28,But you can even go further.
274,1140.28,1147.28,"And when you're setting them up, you can choose to do to not set send them traffic."
275,1147.28,1150.28,Outside the opening hours.
276,1150.28,1155.28,So if they are working from 9 to 5 and you check this no traffic.
277,1155.28,1159.28,After 5 they will not be able to get any traffic from the system.
278,1159.28,1164.28,But there are two ways to set these things up.
279,1164.28,1167.28,So I will move on to the distributions now.
280,1167.28,1171.28,This is the piece that connects it all.
281,1171.28,1176.28,"So now you have partners, you have clients and you want to connect these things."
282,1176.28,1178.28,You can set up distributions.
283,1178.28,1180.28,I will take Belgium as an example.
284,1180.28,1185.28,You can see here this is what we call a country distribution.
285,1185.28,1188.28,It doesn't have any other parameters attached.
286,1188.28,1198.28,So all leads from Belgium will go to this distribution if it cannot find a more specific one.
287,1198.28,1206.28,"If you set up a more specific one, for example Belgium and the partner Elite Traffic."
288,1206.28,1213.28,Then all traffic will go to Belgium unless Elite Traffic is sending them because it can find a more specific one.
289,1213.28,1217.28,That's really important to understand because that's how the system is built.
290,1217.28,1221.28,That will choose the most specific distribution.
291,1221.28,1226.28,So if we look at the distribution that looks like this.
292,1226.28,1229.28,On the left side you have all the brokers.
293,1229.28,1237.28,On the top you have quick performance metrics about a certain partner for certain brokers.
294,1237.28,1243.28,So for example you can see client B as well because out of two leads you currently convert a one.
295,1243.28,1246.28,So you always want to have client B and rotation.
296,1246.28,1247.28,You know what I mean?
297,1247.28,1251.28,Or you can see some quick performance metrics.
298,1251.28,1255.28,And here you can make a list of your rotations.
299,1255.28,1262.28,You can say out of all my traffic I want to have 50% going here and 50% going to the other one.
300,1262.28,1270.28,This means the system will really try to allocate 50% to one and 50% to two.
301,1270.28,1276.28,"So if you send 10 leads, if nothing goes wrong each will have five."
302,1276.28,1280.28,If you want to add an extra one you can just drag and drop it here.
303,1280.28,1284.28,And you can give it something you need.
304,1284.28,1288.28,For example 30 it will take the share of another one.
305,1288.28,1293.28,But yeah you will have to adapt for example if you want to do it like this it can be possible.
306,1293.28,1298.28,If client B is supposed to get the lead.
307,1298.28,1301.28,But for some reason as you know it can be a duplicate.
308,1301.28,1305.28,It gets rejected whatever or something is wrong.
309,1305.28,1310.28,It will automatically choose the next one that should be able to get the lead.
310,1310.28,1315.28,And the system will try to rebalance the percentages each time.
311,1315.28,1318.28,So imagine that client B has a problem.
312,1318.28,1321.28,And it should get 50% of the leads.
313,1321.28,1325.28,But like first half of today everything went to client E and D.
314,1325.28,1332.28,Afterwards the system will try to get back to these ratios if client B starts accepting again.
315,1332.28,1335.28,So that's something to know if you work with the system.
316,1336.28,1341.28,That the system will try to get back to the 50% and all the following leads will go there.
317,1341.28,1344.28,But you learn to work with it.
318,1344.28,1350.28,Then we have on top you can see like two tabs.
319,1350.28,1352.28,You have week and weekend.
320,1352.28,1356.28,These are what we call time slots for the distributions.
321,1356.28,1358.28,Sorry excuse me.
322,1358.28,1361.28,I have a bit of a call.
323,1361.28,1363.28,So you can make time slots.
324,1363.28,1365.28,What does that mean?
325,1365.28,1372.28,You can say for example I want to have all days from 9 to 5.
326,1372.28,1376.28,I want to have a specific distribution.
327,1376.28,1378.28,You could make it like this.
328,1378.28,1382.28,I want to copy it to all or I only want to do it at a Monday.
329,1382.28,1389.28,You can set up a distribution specifically on this time slot that you are about to apply.
330,1389.28,1394.28,How does that look like if you see the week one we made here and the weekend one?
331,1394.28,1399.28,"Apparently during the week we want to send everything to B, E and D."
332,1399.28,1403.28,But for example in the weekend we let's remove this one.
333,1403.28,1408.28,And we want to send everything to client D only.
334,1408.28,1412.28,So you say in the weekend 100% to client D.
335,1412.28,1414.28,But you can really tweak the time slots.
336,1414.28,1424.28,For example if you want to say this one goes from let's say the example I just gave you time to 5.
337,1424.28,1426.28,And we'll do that for all.
338,1426.28,1433.28,We can call that week working.
339,1433.28,1438.28,For example but then you can add another time slot.
340,1438.28,1442.28,That's week non-working for example.
341,1442.28,1446.28,And you'd say not on the weekends because we already have something there.
342,1446.28,1454.28,But we say everything from midnight to 9 and from 17 to 24.
343,1454.28,1457.28,And we want to copy this configuration to all.
344,1457.28,1465.28,"You quickly made, you can see like the working one and outside of the working hours."
345,1465.28,1470.28,And for example you want to set this one up differently like this.
346,1470.28,1472.28,You can put it like this.
347,1472.28,1476.28,This will be your other configuration during the non-work hours.
348,1476.28,1480.28,So it's really flexible in terms of how you can set things up.
349,1480.28,1483.28,Then we also have an advanced distribution.
350,1483.28,1486.28,But this is basically another way.
351,1486.28,1488.28,So this is the normal distribution.
352,1488.28,1493.28,Then I'm going to show you the advanced distribution.
353,1493.28,1497.28,So this is inside the time slots still.
354,1497.28,1502.28,But we've had clients that work with caps.
355,1502.28,1503.28,So what does that mean?
356,1503.28,1510.28,For example they want to send 10 leads first to client E and then 10 leads to client C.
357,1510.28,1512.28,So you can make different priority groups.
358,1512.28,1520.28,And you can say I want to send 10 leads first to client E and then 100 to client C.
359,1520.28,1524.28,"And it can be 100, 100."
360,1524.28,1530.28,Or you can even go deeper and make different rotations wherever you want.
361,1530.28,1533.28,So you can make this one 5.
362,1533.28,1538.28,"But make sure to, because I will set this one to 50-50."
363,1538.28,1545.28,"And if you keep the priority groups the same, this means that during the first 10 leads, 5 and 5,"
364,1545.28,1549.28,leads will go 50-50 to these two.
365,1549.28,1553.28,"If 10 leads have passed, it will fill out this cap, the second one."
366,1553.28,1556.28,And then it will jump to priority group 2.
367,1556.28,1557.28,Nice.
368,1557.28,1559.28,So that's important to know.
369,1559.28,1565.28,But this gives you normally at least all terms of flexibility on how to work with your traffic.
370,1565.28,1571.28,That's how you can set up distributions.
371,1571.28,1576.28,You can set them up pretty specifically.
372,1576.28,1580.28,As you can see this one is set up for affiliate lead traffic.
373,1580.28,1583.28,It's a thousand source Google.
374,1583.28,1589.28,"So if this partner sends traffic in Belgium with these parameters, it will go to this distribution."
375,1589.28,1593.28,"If he doesn't apply these parameters, it will go to that one."
376,1593.28,1598.28,And all other things that are not specifically matched will go to the Belgium general one.
377,1598.28,1602.28,And you can even set up if you want a global distribution.
378,1602.28,1604.28,Some clients want to accept everything.
379,1604.28,1611.28,Some clients want to only open certain geos and reject everything else.
380,1611.28,1614.28,So that depends on the way you work.
381,1614.28,1616.28,You can easily clone distribution.
382,1616.28,1621.28,"So you have the same setup to start working with it, but you can define other parameters."
383,1621.28,1628.28,And this is basically to edit the metadata of your distribution.
384,1628.28,1632.28,I will show you how to set up a new one.
385,1632.28,1636.28,You don't need to add a label or a tag unless you want one.
386,1636.28,1640.28,The system will auto generate these.
387,1640.28,1643.28,Then you have a method slots and chance.
388,1643.28,1645.28,Slots is our default.
389,1645.28,1647.28,Chance is another way.
390,1647.28,1653.28,"You know I told you like if you have 50, 50, the slots will always try to keep them in balance."
391,1653.28,1661.28,"If you pick chance, that means that every new lead has the chance of 50% going to one broker"
392,1661.28,1665.28,or another one and it doesn't care about the history.
393,1665.28,1668.28,"Like if a broker rejected the first 10 leads, it doesn't care."
394,1668.28,1673.28,It just gets 50% chance of receiving the lead.
395,1673.28,1675.28,I hope that makes sense.
396,1679.28,1683.28,And here you set up the distribution country.
397,1683.28,1688.28,"So if you want to set it up for a specific country, again, you can add the parameters you want."
398,1688.28,1696.28,"So if you are setting one up for Belgium and you want to have the affiliate partner-ish,"
399,1696.28,1702.28,"the one we viewed before, you can set it up like this and you can go to the next step"
400,1702.28,1706.28,and you can start setting up the distribution.
401,1706.28,1709.28,"But again, our support is always here to help."
402,1709.28,1714.28,"So when things become complex, they are always here to assist."
403,1714.28,1717.28,You have different ways of viewing the distributions.
404,1717.28,1724.28,"You can, for example, also view it from an affiliate perspective if you want to edit their specific distributions."
405,1724.28,1730.28,If you make them based on an offer or you want to have a list of them all just in each other.
406,1730.28,1735.28,But we see that most people work with the country.
407,1735.28,1740.28,So that was an important part to understand.
408,1740.28,1746.28,Then we can go to some reports. That's the interesting part.
409,1746.28,1751.28,This is a very big screen.
410,1751.28,1757.28,There is a lot happening. On the left side you have all possible parameters to filter on.
411,1757.28,1760.28,On the right part you can see the reports.
412,1760.28,1765.28,We have the first up that's a global report. That's just how you are doing globally.
413,1765.28,1770.28,"To explain the metrics, the attempts are the registration attempts."
414,1770.28,1778.28,"Out of 150 attempts, 143 leads got accepted by advertisers."
415,1778.28,1781.28,That's a success rate of 95%.
416,1781.28,1785.28,You can see how many autos worked because it's a demo environment.
417,1785.28,1791.28,There are no metrics here. But basically you are aware about the autologon and the bread.
418,1792.28,1798.28,So the leads go to when they are registered.
419,1798.28,1802.28,You can follow here how many went through.
420,1802.28,1808.28,This is very convenient if you are working with partners and they have an algorithm of setup.
421,1808.28,1813.28,You can quickly see it at the autoblogged ratios.
422,1813.28,1817.28,Then you can see the total FTDs. How many of them were late.
423,1817.28,1825.28,The late rule is if the FTDs are older than 12 hours or on another date.
424,1825.28,1831.28,It's considered a late FTD. That's a conversion rate of 11%.
425,1831.28,1838.28,"You have some CPL metrics. The revenue, the payout and of course the profit."
426,1838.28,1846.28,The following four tabs are the main information.
427,1846.28,1849.28,This is just an entry point to your data.
428,1849.28,1855.28,You want to start breaking down from clients or countries or offers or affiliates.
429,1855.28,1862.28,We have the columns here. That's the main data.
430,1862.28,1864.28,You can always choose what to show here.
431,1864.28,1870.28,You can even reorganize the reports if you want to see certain things before other things.
432,1870.28,1876.28,"You can just move it around, set it up and you can say set as default."
433,1876.28,1883.28,It always opens like this for you.
434,1883.28,1888.28,You can work with some extra functionality only successfully.
435,1888.28,1893.28,You will filter out the results where no leads were successful if you need that.
436,1893.28,1897.28,You can say break down all. That's something I'm going to show you now.
437,1897.28,1902.28,"If you press on the name, there will be a default breakdown of the data."
438,1902.28,1910.28,You can really break down from certain data to more informational parts.
439,1910.28,1918.28,This is a suggested breakdown. You always have the ability to break down by whatever you want.
440,1918.28,1921.28,It doesn't matter how deep. You can just start breaking down.
441,1921.28,1927.28,"For example, if you want to see all affiliates that have sent to a certain client,"
442,1927.28,1932.28,"you can break it down like this. For example, you want to see supreme affiliates."
443,1932.28,1936.28,You want to see their offers that they sent on.
444,1936.28,1942.28,You can really drill down the way you want.
445,1942.28,1948.28,You can go to countries. It's basically the same thing but another entry point.
446,1948.28,1953.28,"If you want to see affiliates that send in a certain country, you can do it like this and so on again."
447,1953.28,1959.28,You can start from an affiliate as well and just look at what geo is that he sent.
448,1959.28,1963.28,Where is the country? Did I miss it?
449,1963.28,1968.28,You can see the countries he sent in.
450,1968.28,1973.28,You can see the hourly statistics. You can see the daily and the weekly.
451,1973.28,1978.28,You can have monthly but it's not enabled in the demo environment.
452,1978.28,1983.28,Same thing. You can break down again however you want.
453,1983.28,1993.28,Then one of the powerful views in the system.
454,1993.28,2001.28,This is basically all the details about the leads being sent in your system.
455,2001.28,2004.28,I'm just going to start with the columns you see here.
456,2004.28,2007.28,I will explain the other filters later.
457,2007.28,2011.28,The first column you see is what we call registration attempts.
458,2011.28,2017.28,Like a lead comes in. You have four potential brokers that it will go to but it will pick one.
459,2017.28,2022.28,"If it doesn't succeed with the first one, it will go to the second one and so on."
460,2022.28,2029.28,You quickly can see how many it tried. You can click here and you can see how client F is the capsperful.
461,2029.28,2033.28,Client C was blocked because of an error in the API.
462,2033.28,2037.28,Same for client A but it succeeded with client D.
463,2037.28,2041.28,It's doing automatically.
464,2041.28,2046.28,I have one question about autologuing.
465,2046.28,2058.28,Autologuing is saved when leads try to come second or third time.
466,2058.28,2065.28,Or lead get autologuing with first broker.
467,2065.28,2072.28,"When he goes to second or third broker, he goes without autologuing."
468,2072.28,2074.28,I understand.
469,2074.28,2083.28,"Basically what happens here, these brokers are tried but they let us know they did not accept the lead."
470,2083.28,2085.28,There is no autologuing yet.
471,2085.28,2088.28,Client D gets autologuing.
472,2088.28,2092.28,They can only use the autologuing once for client D.
473,2092.28,2095.28,"They get a special token and if they click it, they go through."
474,2095.28,2098.28,The second time they will get an error.
475,2098.28,2102.28,"If a lead depends, it will try to register again."
476,2102.28,2108.28,It will be sent to the same broker or it will be rejected because it's a duplicate.
477,2108.28,2112.28,That depends on how you want to set it up.
478,2112.28,2117.28,We have a problem with Alter.
479,2117.28,2127.28,We have a lead who goes to one partner broker.
480,2127.28,2130.28,He goes to one broker.
481,2130.28,2133.28,Broker rejects this lead.
482,2133.28,2139.28,This lead should be automatically sent to next broker.
483,2139.28,2146.28,But this lead does not get autologuing link from second broker.
484,2146.28,2150.28,He goes to second broker without autologuing.
485,2150.28,2154.28,We do not have that problem.
486,2154.28,2158.28,"You have this function, right?"
487,2158.28,2160.28,"Yes, that's no problem."
488,2160.28,2162.28,They get the right autologuing link.
489,2162.28,2165.28,Otherwise our clients would not be happy with us.
490,2165.28,2167.28,Great.
491,2167.28,2176.28,"To continue, here you can see the affiliate ID and affiliate name that you are getting or the lead will send from."
492,2176.28,2179.28,"Again, you have a lot of columns."
493,2179.28,2182.28,You can customize however you want to see it.
494,2182.28,2187.28,"For example, if you do not want to see the affiliate ID, you can just set it or disable it."
495,2187.28,2190.28,You can look at it like this or set your view as default.
496,2190.28,2192.28,You always get the same view.
497,2192.28,2195.28,You can see the country.
498,2195.28,2198.28,The status is also an important one.
499,2198.28,2201.28,"As you know, there are call statuses."
500,2201.28,2203.28,We track them.
501,2203.28,2207.28,You can always see the history of call statuses here.
502,2207.28,2211.28,This is convenient to know and to follow.
503,2211.28,2214.28,You have the ability to override it towards your partners.
504,2214.28,2218.28,"For example, there is a status."
505,2218.28,2222.28,"For some reason, you want to show something else because it is problematic for you."
506,2222.28,2229.28,You can set it up here or you can choose an existing one or you can just type something.
507,2229.28,2234.28,You can confirm and then that is the status that affiliate will see.
508,2234.28,2241.28,"You will see the creation date, the email, the funnel, the offer and so on."
509,2241.28,2244.28,You have the ability to trigger an FDD.
